country,main_category,sub_category,hs_code,estimated_import_value_usd,tax_rate_estimate,source_note
Almanya,Elektronik,Güvenlik Kamerası,8525,665000000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Güvenlik Kamerası,8525,711550000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Güvenlik Kamerası,8525,399000000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Güvenlik Kamerası,8525,423500000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Güvenlik Kamerası,8525,448000000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Güvenlik Kamerası,8525,472500000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Güvenlik Kamerası,8525,497000000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Güvenlik Kamerası,8525,521500000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Güvenlik Kamerası,8525,546000000,5.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Güvenlik Kamerası,8525,570500000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Elektronik,Güvenlik Kamerası,8525,595000000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Elektronik,Güvenlik Kamerası,8525,619500000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Elektronik,Güvenlik Kamerası,8525,644000000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Elektronik,Güvenlik Kamerası,8525,665000000,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Elektronik,Güvenlik Kamerası,8525,374500000,8.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Elektronik,Güvenlik Kamerası,8525,399000000,4.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Elektronik,Güvenlik Kamerası,8525,423500000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Elektronik,Güvenlik Kamerası,8525,448000000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Elektronik,Güvenlik Kamerası,8525,472500000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Elektronik,Güvenlik Kamerası,8525,497000000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Elektronik,Güvenlik Kamerası,8525,521500000,5.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Elektronik,Güvenlik Kamerası,8525,546000000,5.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Elektronik,Güvenlik Kamerası,8525,570500000,5.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Elektronik,Güvenlik Kamerası,8525,595000000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Elektronik,Güvenlik Kamerası,8525,619500000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Elektronik,Güvenlik Kamerası,8525,644000000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Elektronik,Güvenlik Kamerası,8525,350000000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Elektronik,Güvenlik Kamerası,8525,374500000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Elektronik,Güvenlik Kamerası,8525,399000000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Elektronik,Güvenlik Kamerası,8525,423500000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Elektronik,Güvenlik Kamerası,8525,448000000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Elektronik,Güvenlik Kamerası,8525,472500000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Elektronik,Güvenlik Kamerası,8525,497000000,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Elektronik,Güvenlik Kamerası,8525,521500000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Elektronik,Güvenlik Kamerası,8525,546000000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Elektronik,Güvenlik Kamerası,8525,570500000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Elektronik,Güvenlik Kamerası,8525,595000000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Elektronik,Güvenlik Kamerası,8525,619500000,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Elektronik,Güvenlik Kamerası,8525,644000000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Elektronik,Güvenlik Kamerası,8525,350000000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Elektronik,Güvenlik Kamerası,8525,374500000,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Elektronik,Güvenlik Kamerası,8525,399000000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Elektronik,Güvenlik Kamerası,8525,423500000,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Elektronik,Güvenlik Kamerası,8525,448000000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Elektronik,Güvenlik Kamerası,8525,472500000,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Elektronik,Güvenlik Kamerası,8525,497000000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Elektronik,Güvenlik Kamerası,8525,521500000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Elektronik,Güvenlik Kamerası,8525,546000000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Elektronik,Güvenlik Kamerası,8525,570500000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Elektronik,Güvenlik Kamerası,8525,595000000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Elektronik,Akıllı Saat,8525,718200000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Akıllı Saat,8525,768474000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Akıllı Saat,8525,430920000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
