country,main_category,sub_category,hs_code,tax_rate_estimate,product_regulation,customs_documents,standards_note,tax_note,incentive_note,customs_note,source_note
Almanya,Elektronik,Güvenlik Kamerası,8525,6.3,"Almanya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Almanya için tahmini vergi oranı %6.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Almanya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Almanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Elektronik,Güvenlik Kamerası,8525,8.6,"ABD pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","ABD için tahmini vergi oranı %8.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",ABD pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"ABD gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Elektronik,Güvenlik Kamerası,8525,6.9,"Fransa pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Fransa için tahmini vergi oranı %6.9. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Fransa pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Fransa gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Elektronik,Güvenlik Kamerası,8525,7.1,"İngiltere pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İngiltere için tahmini vergi oranı %7.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İngiltere pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İngiltere gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Elektronik,Güvenlik Kamerası,8525,6.1,"Hollanda pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Hollanda için tahmini vergi oranı %6.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Hollanda pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Hollanda gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Elektronik,Güvenlik Kamerası,8525,6.8,"İtalya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İtalya için tahmini vergi oranı %6.8. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İtalya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İtalya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Elektronik,Güvenlik Kamerası,8525,7.2,"İspanya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İspanya için tahmini vergi oranı %7.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İspanya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İspanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Elektronik,Güvenlik Kamerası,8525,6.5,"Polonya pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Polonya için tahmini vergi oranı %6.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Polonya pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Polonya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Elektronik,Güvenlik Kamerası,8525,5.6,"BAE pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","BAE için tahmini vergi oranı %5.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",BAE pazarı için teşvik değerlendirmesi prototip modelde 10/10 olarak alınmıştır.,"BAE gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Elektronik,Güvenlik Kamerası,8525,6.1,"Suudi Arabistan pazarına Güvenlik Kamerası ihracatında HS/GTİP 8525 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Elektronik / Güvenlik Kamerası için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Suudi Arabistan için tahmini vergi oranı %6.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Suudi Arabistan pazarı için teşvik değerlendirmesi prototip modelde 9/10 olarak alınmıştır.,"Suudi Arabistan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
